INFO: 2024-04-15 15:54:03 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 1
INFO: 2024-04-15 15:54:05 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 207INFO: 2024-04-15 16:00:56 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 1
INFO: 2024-04-15 16:17:26 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 3000
INFO: 2024-04-15 16:19:31 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 3000
INFO: 2024-04-15 16:19:51 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 3000
INFO: 2024-04-15 16:19:59 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 3000
INFO: 2024-04-15 16:22:12 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 3000
INFO: 2024-04-15 16:22:34 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 6000
INFO: 2024-04-15 16:39:34 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 1
INFO: 2024-04-15 16:42:53 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 1
INFO: 2024-04-15 16:44:34 [send_packet] [SUCCESS] Successfully transmitted packets, packet_count: 3000
